date,year,country,activity,sex,age,fatal,datetime_column,string_column,month,season
11-Apr-2022,2022,USA,standing,M,15,no,2022-04-11 00:00:00,11-Apr-2022,4,Spring
07-Apr-2022,2022,USA,kayaking,M,15,no,2022-04-07 00:00:00,07-Apr-2022,4,Spring
31-Mar-2022,2022,USA,fishing,M,50,no,2022-03-31 00:00:00,31-Mar-2022,3,Spring
15-Mar-2022,2022,New Zealand,surfing,M,15,no,2022-03-15 00:00:00,15-Mar-2022,3,Spring
15-Mar-2022,2022,Australia,surfing,M,32,no,2022-03-15 00:00:00,15-Mar-2022,3,Spring
15-Mar-2022,2022,Australia,swimming,M,15,no,2022-03-15 00:00:00,15-Mar-2022,3,Spring
13-Mar-2022,2022,USA,surfing,M,20,no,2022-03-13 00:00:00,13-Mar-2022,3,Spring
09-Mar-2022,2022,USA,fishing,M,21,no,2022-03-09 00:00:00,09-Mar-2022,3,Spring
08-Mar-2022,2022,Australia,surfing,M,15,no,2022-03-08 00:00:00,08-Mar-2022,3,Spring
26-Feb-2022,2022,USA,boogie boarding,M,42,yes,2022-02-26 00:00:00,26-Feb-2022,2,Winter
21-Feb-2022,2022,Bahamas,diving,M,51,no,2022-02-21 00:00:00,21-Feb-2022,2,Winter
16-Feb-2022,2022,Australia,swimming,M,36,yes,2022-02-16 00:00:00,16-Feb-2022,2,Winter
12-Feb-2022,2022,Mexico,diving,M,56,yes,2022-02-12 00:00:00,12-Feb-2022,2,Winter
11-Feb-2022,2022,USA,surfing,M,18,no,2022-02-11 00:00:00,11-Feb-2022,2,Winter
24-Jan-2022,2022,Australia,swimming,M,15,no,2022-01-24 00:00:00,24-Jan-2022,1,Winter
22-Jan-2022,2022,Australia,snorkeling,M,15,no,2022-01-22 00:00:00,22-Jan-2022,1,Winter
09-Jan-2022,2022,South Africa,fishing,M,15,no,2022-01-09 00:00:00,09-Jan-2022,1,Winter
09-Jan-2022,2022,New Zealand,swimming,F,13,no,2022-01-09 00:00:00,09-Jan-2022,1,Winter
06-Jan-2022,2022,USA,surfing,F,42,no,2022-01-06 00:00:00,06-Jan-2022,1,Winter
01-Jan-2022,2022,Australia,surfing,M,40,no,2022-01-01 00:00:00,01-Jan-2022,1,Winter
25-Dec-2021,2021,New Zealand,swimming,F,9,no,2021-12-25 00:00:00,25-Dec-2021,12,Winter
22-Dec-2021,2021,USA,surfing,F,42,no,2021-12-22 00:00:00,22-Dec-2021,12,Winter
11-Dec-2021`,2021,Australia,fishing,M,24,no,2021-12-11 00:00:00,11-Dec-2021`,12,Winter
Reported 06-Dec-2021,2021,Mexico,diving,M,14,no,2021-12-06 00:00:00,Reported 06-Dec-2021,12,Winter
06-Dec-2021,2021,Australia,swimming,F,15,no,2021-12-06 00:00:00,06-Dec-2021,12,Winter
06-Dec-2021,2021,Australia,swimming,M,15,no,2021-12-06 00:00:00,06-Dec-2021,12,Winter
04-Dec-2021,2021,USA,surfing,M,15,no,2021-12-04 00:00:00,04-Dec-2021,12,Winter
07-Nov-2021,2021,USA,fishing,F,27,no,2021-11-07 00:00:00,07-Nov-2021,11,Autumn
06-Nov-2021,2021,Australia,swimming,M,57,yes,2021-11-06 00:00:00,06-Nov-2021,11,Autumn
03-Nov-2021,2021,Brazil,swimming,M,15,no,2021-11-03 00:00:00,03-Nov-2021,11,Autumn
02-Nov-2021,2021,New Zealand,surfing,M,26,no,2021-11-02 00:00:00,02-Nov-2021,11,Autumn
16-Oct-2021,2021,Australia,fishing,M,26,unknown,2021-10-16 00:00:00,16-Oct-2021,10,Autumn
